customer_id,age,gender,city,employment_type,annual_income,credit_score,existing_loans_count,loan_purpose,loan_amount,loan_tenure_months,interest_rate_pct,disbursement_date,loan_to_income_ratio,days_past_due,loan_status,is_default
CUST100019,64,Male,Chennai,Salaried,823000.0,704,1,Home,261000,84,11.86,2024-02-27,0.32,10,Active - Overdue 30d,0
CUST100020,50,Female,Noida,Self-Employed,616000.0,765,0,Auto,523000,60,11.79,2024-06-14,0.85,12,Active - Overdue 30d,0
CUST100021,58,Female,Mohali,Self-Employed,945000.0,557,0,Education,796000,12,16.87,2023-04-24,0.84,133,Default,1
CUST100022,22,Female,Pune,Salaried,980000.0,693,1,Credit Card Consolidation,737000,60,12.59,2021-02-22,0.75,0,Active,0
CUST100023,41,Male,Gurugram,Salaried,974000.0,745,1,Business,591000,24,11.07,2023-10-25,0.61,0,Closed,0
CUST100024,53,Male,Bengaluru,Self-Employed,750000.0,716,1,Personal,625000,84,12.34,2021-05-09,0.83,72,Default,1
CUST100025,32,Male,Gurugram,Self-Employed,532000.0,632,1,Personal,158000,60,10.39,2023-03-18,0.3,133,Default,1
CUST100026,42,Male,Delhi,Self-Employed,1072000.0,536,1,Auto,418000,60,15.12,2022-03-24,0.39,0,Active,0
CUST100027,64,Male,Bengaluru,Salaried,672000.0,703,1,Education,617000,36,10.79,2022-06-29,0.92,0,Active,0
CUST100028,45,Male,Hyderabad,Salaried,208000.0,634,1,Education,462000,36,12.1,2022-10-29,2.22,0,Active,0
CUST100029,47,Male,Delhi,Business Owner,935000.0,728,1,Business,235000,36,12.9,2022-05-06,0.25,0,Active,0
CUST100030,62,Female,Delhi,Salaried,919000.0,616,0,Personal,379000,180,8.39,2023-03-21,0.41,27,Active - Overdue 30d,0
CUST100031,48,Female,Hyderabad,Salaried,437000.0,790,0,Home,798000,24,10.9,2025-01-17,1.83,0,Closed,0
CUST100032,36,Female,Delhi,Salaried,555000.0,763,3,Home,282000,36,10.45,2025-10-14,0.51,0,Active,0
CUST100033,35,Male,Delhi,Salaried,956000.0,580,0,Credit Card Consolidation,335000,84,15.32,2022-04-15,0.35,0,Active,0
CUST100034,64,Female,Mumbai,Business Owner,795000.0,812,0,Home,165000,60,10.71,2025-09-18,0.21,0,Active,0
CUST100035,23,Male,Hyderabad,Business Owner,707000.0,573,1,Personal,1341000,120,13.61,2025-11-02,1.9,76,Default,1
CUST100036,57,Male,Pune,Self-Employed,470000.0,729,0,Home,748000,84,13.22,2024-11-01,1.59,0,Closed,0
CUST100037,27,Female,Hyderabad,Salaried,724000.0,660,0,Home,526000,48,9.17,2025-11-21,0.73,0,Active,0
CUST100038,41,Male,Delhi,Business Owner,329000.0,670,2,Auto,1002000,84,10.7,2024-07-11,3.05,123,Default,1
CUST100039,29,Male,Hyderabad,Business Owner,874000.0,767,1,Personal,354000,120,9.98,2022-03-02,0.41,0,Closed,0
CUST100040,59,Male,Pune,Self-Employed,737000.0,709,0,Education,1047000,60,11.27,2023-11-09,1.42,0,Active,0
CUST100041,38,Male,Bengaluru,Business Owner,1024000.0,580,2,Personal,439000,24,13.95,2023-11-10,0.43,127,Default,1
CUST100042,24,Female,Gurugram,Salaried,584000.0,638,0,Auto,101000,60,12.69,2025-03-15,0.17,0,Active,0
CUST100043,45,Female,Chandigarh,Salaried,1039000.0,718,0,Business,198000,12,15.31,2022-08-01,0.19,0,Active,0
CUST100044,34,Female,Gurugram,Salaried,542000.0,766,1,Auto,498000,48,7.0,2023-06-14,0.92,152,Default,1
CUST100045,29,Male,Pune,Self-Employed,1265000.0,748,1,Personal,535000,12,10.77,2025-03-08,0.42,0,Closed,0
CUST100046,46,Female,Delhi,Salaried,776000.0,663,1,Home,516000,12,11.33,2023-10-17,0.66,0,Active,0
CUST100047,22,Male,Chandigarh,Salaried,923000.0,652,1,Auto,93000,36,13.39,2021-04-21,0.1,74,Default,1
CUST100048,40,Male,Gurugram,Salaried,805000.0,840,0,Home,563000,84,10.82,2023-12-20,0.7,0,Closed,0
CUST100049,48,Female,Gurugram,Salaried,872000.0,752,1,Home,619000,60,17.24,2025-01-05,0.71,0,Closed,0
CUST100050,27,Male,Gurugram,Self-Employed,435000.0,664,0,Personal,1150000,12,11.44,2023-10-09,2.64,169,Default,1
CUST100051,64,Female,Noida,Salaried,554000.0,683,1,Auto,977000,36,10.59,2021-05-05,1.76,0,Active,0
CUST100052,28,Male,Chennai,Salaried,461000.0,596,0,Education,601000,84,12.18,2023-03-28,1.3,0,Active,0
CUST100053,55,Female,Pune,Self-Employed,967000.0,653,1,Personal,1527000,36,13.6,2022-11-22,1.58,0,Active,0
CUST100054,34,Female,Hyderabad,Business Owner,519000.0,633,0,Auto,814000,180,11.65,2022-05-04,1.57,163,Default,1
CUST100055,37,Male,Mumbai,Salaried,842000.0,650,0,Business,594000,240,13.39,2023-03-06,0.71,214,Written Off,1
CUST100056,56,Male,Hyderabad,Salaried,1074000.0,769,0,Credit Card Consolidation,354000,12,13.46,2023-06-22,0.33,150,Default,1
CUST100057,60,Female,Gurugram,Self-Employed,696000.0,578,1,Personal,649000,48,7.0,2022-09-26,0.93,23,Active - Overdue 30d,0
CUST100058,24,Male,Bengaluru,Business Owner,602000.0,665,2,Personal,464000,48,13.99,2023-03-31,0.77,79,Default,1
CUST100059,22,Male,Mumbai,Salaried,838000.0,604,1,Auto,625000,120,10.05,2025-12-27,0.75,102,Default,1
CUST100060,26,Female,Mumbai,Salaried,1188000.0,700,1,Personal,345000,36,7.92,2025-04-11,0.29,0,Active,0
CUST100061,62,Male,Mumbai,Salaried,822000.0,788,1,Credit Card Consolidation,342000,12,10.35,2024-11-11,0.42,0,Active,0
CUST100062,24,Female,Delhi,Salaried,457000.0,737,1,Personal,517000,36,12.39,2024-11-02,1.13,87,Default,1
CUST100063,49,Male,Mumbai,Self-Employed,699000.0,698,0,Auto,699000,48,8.18,2024-08-15,1.0,316,Written Off,1
CUST100064,38,Male,Hyderabad,Salaried,839000.0,761,0,Home,206000,24,7.42,2022-11-07,0.25,0,Active,0
CUST100065,46,Female,Delhi,Salaried,459000.0,752,4,Auto,393000,36,13.22,2023-03-20,0.86,0,Closed,0
CUST100066,64,Male,Bengaluru,Salaried,865000.0,646,2,Personal,427000,12,7.76,2023-12-30,0.49,244,Written Off,1
CUST100067,54,Male,Chennai,Salaried,1204000.0,543,0,Business,868000,180,12.73,2022-03-05,0.72,93,Default,1
CUST100068,30,Male,Mumbai,Salaried,629000.0,773,0,Home,565000,60,10.08,2021-01-02,0.9,0,Active,0
CUST100069,56,Male,Chennai,Salaried,532000.0,586,0,Business,207000,180,16.12,2025-12-24,0.39,0,Closed,0
CUST100070,34,Male,Pune,Salaried,790000.0,587,0,Personal,746000,84,9.36,2022-04-11,0.94,97,Default,1
CUST100071,51,Male,Bengaluru,Salaried,573000.0,659,1,Personal,323000,48,16.31,2025-09-12,0.56,84,Default,1
CUST100072,35,Male,Mumbai,Business Owner,368000.0,633,1,Education,534000,36,7.89,2023-02-12,1.45,89,Default,1
CUST100073,28,Male,Mumbai,Salaried,846000.0,586,1,Personal,493000,48,11.03,2023-03-31,0.58,0,Closed,0
CUST100074,34,Female,Bengaluru,Salaried,725000.0,673,1,Business,862000,48,11.71,2025-09-26,1.19,0,Closed,0
CUST100075,43,Female,Delhi,Salaried,663000.0,657,0,Personal,424000,12,12.56,2025-12-29,0.64,0,Active,0
CUST100076,60,Male,Delhi,Salaried,509000.0,719,1,Education,457000,60,7.66,2023-10-15,0.9,0,Closed,0
CUST100077,41,Female,Mumbai,Salaried,470000.0,681,2,Home,368000,84,12.46,2023-08-17,0.78,0,Closed,0
CUST100078,36,Female,Pune,Salaried,614000.0,706,1,Education,352000,120,12.82,2024-07-05,0.57,0,Closed,0
CUST100079,38,Male,Delhi,Self-Employed,392000.0,668,1,Personal,299000,60,15.01,2023-12-17,0.76,170,Default,1
CUST100080,44,Female,Hyderabad,Salaried,435000.0,707,2,Education,275000,48,11.0,2023-12-17,0.63,69,Default,1
CUST100081,46,Male,Delhi,Business Owner,1455000.0,647,0,Business,202000,36,11.94,2025-03-07,0.14,0,Closed,0
CUST100082,45,Female,Chennai,Salaried,743000.0,670,1,Home,887000,36,11.24,2022-01-18,1.19,0,Closed,0
CUST100083,61,Male,Delhi,Salaried,,612,0,Home,425000,120,11.41,2022-01-30,0.46,0,Active,0
CUST100084,49,Male,Hyderabad,Salaried,1464000.0,610,1,Education,795000,48,11.21,2024-06-04,0.54,0,Active,0
CUST100085,35,Female,Bengaluru,Business Owner,556000.0,684,0,Home,450000,12,10.35,2023-12-29,0.81,0,Closed,0
CUST100086,21,Male,Pune,Salaried,566000.0,827,0,Home,551000,48,14.46,2023-12-10,0.97,0,Closed,0
CUST100087,45,Male,Mumbai,Self-Employed,1479000.0,714,2,Home,316000,84,10.95,2023-11-16,0.21,29,Active - Overdue 30d,0
CUST100088,27,Female,Gurugram,Salaried,340000.0,641,0,Home,279000,24,13.69,2023-05-15,0.82,0,Closed,0
CUST100089,29,Male,Delhi,Business Owner,305000.0,562,0,Business,569000,60,14.29,2025-05-13,1.87,79,Default,1
CUST100090,44,Female,Gurugram,Salaried,1190000.0,737,1,Business,291000,24,9.78,2024-07-05,0.24,0,Closed,0
CUST100091,21,Female,Delhi,Business Owner,1242000.0,772,3,Auto,393000,60,11.94,2023-05-16,0.32,0,Active,0
CUST100092,64,Male,Gurugram,Salaried,882000.0,721,0,Auto,612000,48,11.7,2021-08-26,0.69,0,Closed,0
CUST100093,28,Male,Mumbai,Salaried,778000.0,717,0,Personal,223000,48,12.62,2023-08-29,0.29,143,Default,1
CUST100094,44,Female,Delhi,Salaried,290000.0,567,0,Personal,1499000,60,7.6,2021-05-11,5.17,73,Default,1
CUST100095,31,Male,Pune,Salaried,251000.0,690,1,Credit Card Consolidation,262000,48,8.63,2022-02-03,1.04,60,Default,1
CUST100096,37,Female,Mohali,Salaried,1007000.0,633,1,Auto,263000,60,10.59,2021-01-16,0.26,0,Closed,0
CUST100097,28,Male,Gurugram,Self-Employed,1185000.0,729,1,Home,609000,180,10.53,2021-03-11,0.51,0,Closed,0
CUST100098,55,Male,Hyderabad,Salaried,813000.0,594,3,Home,573000,36,9.35,2025-10-07,0.7,163,Default,1
CUST100099,55,Male,Chandigarh,Salaried,150000.0,674,2,Business,534000,12,8.3,2021-07-16,3.56,0,Active,0
CUST100100,53,Female,Gurugram,Salaried,1054000.0,740,4,Home,343000,48,7.95,2022-07-25,0.33,138,Default,1
CUST100101,25,Male,Mumbai,Salaried,453000.0,622,0,Home,529000,36,10.82,2023-10-22,1.17,199,Written Off,1
CUST100102,62,Male,Delhi,Salaried,1306000.0,650,0,Education,890000,48,15.03,2023-05-19,0.68,0,Active,0
CUST100103,59,Male,Noida,Salaried,1148000.0,750,1,Business,1111000,60,15.8,2025-06-02,0.97,0,Closed,0
CUST100104,61,Male,Gurugram,Business Owner,957000.0,821,1,Personal,694000,48,9.12,2024-06-02,0.73,0,Closed,0
CUST100105,48,Male,Pune,Salaried,722000.0,738,2,Business,379000,60,15.29,2022-09-07,0.52,0,Active,0
CUST100106,27,Male,Chandigarh,Business Owner,302000.0,686,1,Business,427000,36,10.21,2021-08-11,1.41,158,Default,1
CUST100107,29,Male,Bengaluru,Salaried,1544000.0,631,1,Personal,1267000,48,11.4,2023-04-14,0.82,0,Active,0
CUST100108,28,Male,Bengaluru,Salaried,1179000.0,662,0,Credit Card Consolidation,397000,48,16.58,2023-06-01,0.34,0,Closed,0
CUST100109,32,Male,Chandigarh,Business Owner,210000.0,733,0,Business,506000,24,11.23,2024-01-12,2.41,170,Default,1
CUST100110,54,Female,Delhi,Salaried,943000.0,639,0,Home,564000,48,9.0,2021-08-19,0.6,0,Closed,0
CUST100111,53,Female,Bengaluru,Business Owner,660000.0,644,2,Business,529000,120,11.6,2022-01-21,0.8,0,Active,0
CUST100112,43,Male,Gurugram,Salaried,1244000.0,577,1,Auto,657000,36,11.12,2025-11-14,0.53,327,Written Off,1
CUST100113,44,Male,Mohali,Salaried,387000.0,842,2,Personal,619000,60,8.19,2024-11-21,1.6,0,Active,0
CUST100114,57,Male,Bengaluru,Business Owner,1257000.0,757,0,Credit Card Consolidation,343000,24,11.89,2024-05-26,0.27,168,Default,1
CUST100115,55,Female,Pune,Salaried,516000.0,648,1,Personal,751000,12,12.01,2023-09-15,1.46,0,Closed,0
CUST100116,64,Male,Mumbai,Business Owner,906000.0,789,1,Personal,159000,240,14.63,2023-06-30,0.18,87,Default,1
CUST100117,60,Male,Mumbai,Salaried,720000.0,711,0,Home,182000,36,13.03,2021-11-24,0.25,0,Active,0
CUST100118,42,Female,Noida,Self-Employed,272000.0,606,0,Business,117000,84,12.59,2021-08-25,0.43,322,Written Off,1
CUST100119,47,Male,Hyderabad,Salaried,1568000.0,637,1,Home,359000,120,7.45,2023-12-25,0.23,0,Active,0
CUST100120,55,Male,Bengaluru,Salaried,662000.0,599,2,Home,327000,36,9.22,2023-05-20,0.49,68,Default,1
CUST100121,21,Male,Chandigarh,Salaried,470000.0,707,1,Home,1162000,12,10.8,2025-05-01,2.47,167,Written Off,1
CUST100122,55,Female,Mumbai,Salaried,311000.0,852,0,Auto,1332000,36,12.31,2022-05-15,4.28,0,Closed,0
CUST100123,57,Male,Hyderabad,Salaried,1002000.0,679,0,Home,1187000,120,14.26,2021-04-02,1.18,0,Closed,0
CUST100124,34,Female,Mumbai,Salaried,1200000.0,630,0,Credit Card Consolidation,791000,120,10.69,2023-01-06,0.66,0,Active,0
CUST100125,23,Female,Hyderabad,Self-Employed,886000.0,667,0,Auto,593000,120,14.19,2023-12-11,0.67,82,Default,1
CUST100126,21,Male,Chandigarh,Self-Employed,742000.0,816,0,Education,517000,84,12.07,2024-01-23,0.7,151,Default,1
CUST100127,25,Male,Bengaluru,Salaried,833000.0,740,2,Credit Card Consolidation,495000,24,12.74,2024-03-30,0.59,0,Closed,0
CUST100128,46,Male,Noida,Salaried,837000.0,693,0,Home,122000,48,7.83,2023-05-31,0.15,64,Default,1
CUST100129,34,Female,Mohali,Self-Employed,633000.0,554,0,Auto,813000,36,13.0,2021-06-14,1.28,0,Active,0
CUST100130,59,Female,Delhi,Self-Employed,837000.0,699,1,Business,625000,48,13.34,2025-01-30,0.75,0,Active,0
CUST100131,47,Male,Chennai,Self-Employed,1309000.0,622,0,Auto,877000,48,13.42,2021-03-13,0.67,0,Active,0
CUST100132,29,Female,Hyderabad,Self-Employed,614000.0,792,2,Personal,291000,36,9.87,2024-11-27,0.47,0,Closed,0
CUST100133,35,Male,Hyderabad,Salaried,747000.0,602,1,Home,678000,60,10.56,2025-11-26,0.91,118,Default,1
CUST100134,35,Male,Mohali,Salaried,774000.0,613,3,Home,602000,12,11.62,2024-08-06,0.78,0,Closed,0
CUST100135,46,Female,Gurugram,Salaried,697000.0,726,2,Credit Card Consolidation,676000,60,9.16,2025-09-15,0.97,275,Written Off,1
CUST100136,62,Female,Hyderabad,Self-Employed,713000.0,686,1,Credit Card Consolidation,480000,48,10.98,2025-04-14,0.67,0,Active,0
CUST100137,33,Male,Chennai,Salaried,1313000.0,615,1,Personal,752000,24,15.37,2025-01-06,0.57,0,Active,0
CUST100138,52,Female,Gurugram,Salaried,481000.0,592,1,Business,1006000,48,12.41,2022-01-22,2.09,97,Default,1
CUST100139,59,Female,Gurugram,Salaried,432000.0,826,0,Personal,978000,12,11.11,2025-03-09,2.26,0,Active,0
CUST100140,52,Female,Bengaluru,Salaried,1448000.0,673,1,Home,1323000,60,16.84,2023-09-24,0.91,0,Closed,0
CUST100141,24,Female,Chennai,Salaried,457000.0,688,1,Home,152000,48,9.44,2022-07-11,0.33,136,Default,1
CUST100142,50,Female,Hyderabad,Salaried,798000.0,689,2,Business,464000,240,14.75,2021-11-10,0.58,173,Written Off,1
CUST100143,57,Male,Gurugram,Self-Employed,685000.0,533,0,Credit Card Consolidation,322000,24,9.76,2021-10-23,0.47,0,Closed,0
CUST100144,43,Female,Gurugram,Self-Employed,1194000.0,748,0,Personal,272000,120,11.67,2025-07-18,0.23,0,Closed,0
CUST100145,59,Male,Mumbai,Business Owner,479000.0,630,0,Home,195000,36,13.81,2021-09-22,0.41,0,Active,0
CUST100146,35,Female,Mumbai,Salaried,235000.0,629,1,Business,702000,24,9.2,2022-12-13,2.99,174,Default,1
CUST100147,63,Male,Chandigarh,Self-Employed,1226000.0,684,1,Personal,615000,84,7.0,2021-10-26,0.5,126,Default,1
CUST100148,49,Female,Gurugram,Self-Employed,359000.0,510,1,Personal,1165000,240,13.06,2025-11-09,3.25,0,Closed,0
CUST100149,56,Male,Chennai,Salaried,580000.0,540,0,Credit Card Consolidation,380000,84,12.75,2025-03-29,0.66,0,Active,0
CUST100150,33,Male,Chandigarh,Self-Employed,341000.0,747,3,Auto,433000,60,7.19,2021-08-27,1.27,0,Active,0
CUST100151,52,Male,Mohali,Self-Employed,668000.0,733,1,Education,625000,12,9.64,2022-05-14,0.94,133,Default,1
CUST100152,27,Female,Delhi,Salaried,1119000.0,616,0,Personal,783000,36,14.39,2024-01-26,0.7,0,Active,0
CUST100153,42,Female,Mohali,Self-Employed,644000.0,769,1,Personal,705000,12,7.0,2025-03-09,1.09,13,Active - Overdue 30d,0
CUST100154,48,Male,Bengaluru,Business Owner,637000.0,788,1,Personal,677000,36,11.35,2023-05-23,1.06,119,Default,1
CUST100155,22,Female,Pune,Salaried,350000.0,572,0,Auto,419000,48,7.0,2022-11-03,1.2,0,Active,0
CUST100156,62,Female,Chandigarh,Business Owner,379000.0,707,1,Credit Card Consolidation,844000,60,16.01,2025-06-09,2.23,0,Active,0
CUST100157,26,Female,Bengaluru,Salaried,381000.0,638,0,Education,418000,36,10.66,2024-12-29,1.1,151,Default,1
CUST100158,48,Male,Mumbai,Salaried,350000.0,484,0,Personal,319000,120,7.0,2023-09-19,0.91,109,Default,1
CUST100159,48,Female,Mumbai,Salaried,641000.0,574,2,Auto,281000,48,14.06,2025-04-01,0.44,0,Active,0
CUST100160,64,Male,Hyderabad,Salaried,670000.0,709,0,Home,1058000,48,16.89,2022-11-19,1.58,0,Active,0
CUST100161,64,Female,Bengaluru,Salaried,801000.0,606,1,Personal,50000,24,16.93,2024-08-20,0.06,0,Active,0
CUST100162,40,Female,Mohali,Self-Employed,292000.0,768,0,Business,560000,60,7.0,2022-07-23,1.92,0,Closed,0
CUST100163,50,Female,Bengaluru,Salaried,374000.0,695,1,Personal,1059000,36,7.0,2021-08-16,2.83,113,Default,1
CUST100164,31,Female,Mohali,Salaried,1130000.0,850,3,Auto,490000,180,7.0,2025-12-20,0.43,0,Closed,0
CUST100165,48,Male,Delhi,Salaried,943000.0,551,1,Home,600000,120,11.34,2025-06-09,0.64,0,Closed,0
CUST100166,45,Male,Mumbai,Salaried,319000.0,816,0,Home,261000,36,13.11,2022-11-26,0.82,0,Active,0
CUST100167,59,Male,Bengaluru,Salaried,406000.0,766,1,Home,816000,84,7.0,2024-07-27,2.01,119,Default,1
CUST100168,53,Male,Noida,Salaried,334000.0,667,0,Home,305000,48,15.02,2023-10-25,0.91,108,Default,1
CUST100169,21,Female,Chandigarh,Salaried,871000.0,796,0,Personal,471000,48,9.51,2024-07-13,0.54,0,Closed,0
CUST100170,47,Female,Mumbai,Self-Employed,747000.0,670,0,Business,369000,60,10.56,2022-10-14,0.49,127,Default,1
CUST100171,33,Female,Delhi,Salaried,749000.0,806,1,Personal,260000,84,12.19,2023-12-02,0.35,39,Active - Overdue 30d,0
CUST100172,61,Male,Bengaluru,Salaried,520000.0,614,0,Auto,438000,60,14.76,2022-06-26,0.84,62,Default,1
CUST100173,23,Male,Pune,Salaried,445000.0,693,1,Auto,146000,84,11.85,2021-09-14,0.33,0,Active,0
CUST100174,59,Male,Bengaluru,Self-Employed,411000.0,672,1,Home,1180000,24,13.47,2025-08-10,2.87,0,Active,0
CUST100175,26,Male,Hyderabad,Salaried,413000.0,577,1,Personal,373000,36,7.0,2023-01-23,0.9,37,Active - Overdue 30d,0
CUST100176,28,Male,Pune,Salaried,790000.0,609,1,Home,761000,36,13.39,2024-04-03,0.96,0,Active,0
CUST100177,47,Female,Noida,Self-Employed,932000.0,697,4,Personal,556000,84,9.52,2021-05-30,0.6,161,Default,1
CUST100178,29,Male,Chandigarh,Self-Employed,504000.0,665,1,Home,663000,36,11.46,2022-01-18,1.32,75,Default,1
CUST100179,57,Female,Bengaluru,Salaried,693000.0,705,0,Home,251000,24,7.78,2023-10-23,0.36,0,Active,0
CUST100180,53,Male,Mohali,Self-Employed,1495000.0,612,0,Personal,759000,120,8.97,2024-09-07,0.51,0,Active,0
CUST100181,62,Female,Bengaluru,Salaried,954000.0,598,1,Auto,560000,36,7.0,2021-10-22,0.59,110,Default,1
CUST100182,64,Female,Gurugram,Salaried,814000.0,635,1,Home,362000,120,9.84,2025-06-30,0.44,0,Active,0
CUST100183,44,Female,Chennai,Self-Employed,1111000.0,700,4,Auto,517000,60,14.73,2024-05-19,0.47,0,Closed,0
CUST100184,35,Female,Mumbai,Self-Employed,767000.0,663,0,Personal,546000,60,12.37,2025-06-27,0.71,0,Active,0
CUST100185,52,Female,Bengaluru,Self-Employed,1171000.0,646,2,Home,989000,36,9.43,2022-10-09,0.84,0,Active,0
CUST100186,52,Female,Mumbai,Salaried,255000.0,734,1,Business,1003000,120,11.85,2021-12-17,3.93,359,Written Off,1
CUST100187,44,Female,Mumbai,Salaried,873000.0,716,2,Home,400000,84,10.21,2025-04-03,0.46,0,Active,0
CUST100188,61,Male,Mumbai,Self-Employed,203000.0,716,1,Business,558000,24,10.0,2025-03-17,2.75,0,Closed,0
CUST100189,32,Male,Mumbai,Salaried,409000.0,674,1,Education,960000,120,15.93,2021-03-06,2.35,1,Active - Overdue 30d,0
CUST100190,59,Male,Bengaluru,Business Owner,452000.0,623,0,Personal,269000,36,8.9,2025-03-14,0.6,143,Default,1
CUST100191,22,Female,Chennai,Salaried,704000.0,579,1,Education,372000,84,10.8,2021-03-23,0.53,179,Default,1
CUST100192,23,Male,Pune,Salaried,1209000.0,654,0,Personal,747000,24,8.56,2022-11-09,0.62,169,Default,1
CUST100193,57,Female,Pune,Salaried,679000.0,689,0,Business,851000,12,10.92,2022-08-02,1.25,120,Default,1
CUST100194,37,Female,Chandigarh,Salaried,591000.0,750,2,Home,527000,84,8.22,2025-04-03,0.89,0,Active,0
CUST100195,22,Male,Chennai,Salaried,444000.0,657,2,Home,1005000,60,11.87,2025-11-24,2.26,0,Active,0
CUST100196,22,Male,Noida,Salaried,1142000.0,585,0,Home,752000,12,11.03,2021-10-21,0.66,320,Written Off,1
CUST100197,48,Female,Chennai,Salaried,552000.0,572,0,Education,654000,24,12.23,2024-01-03,1.18,0,Closed,0
CUST100198,43,Male,Chennai,Salaried,328000.0,696,2,Credit Card Consolidation,171000,48,14.0,2025-07-25,0.52,0,Active,0
CUST100199,57,Female,Delhi,Salaried,447000.0,744,0,Auto,811000,36,17.19,2025-02-24,1.81,0,Active,0
CUST100200,52,Male,Pune,Salaried,471000.0,574,1,Business,188000,36,9.76,2022-06-13,0.4,119,Default,1
CUST100201,53,Female,Pune,Salaried,625000.0,772,0,Home,536000,180,13.97,2023-10-28,0.86,0,Closed,0
CUST100202,21,Male,Chandigarh,Self-Employed,441000.0,588,1,Personal,405000,36,8.7,2023-01-11,0.92,97,Default,1
CUST100203,39,Female,Gurugram,Salaried,681000.0,623,1,Auto,613000,36,17.99,2023-02-05,0.9,0,Closed,0
CUST100204,22,Male,Mumbai,Self-Employed,786000.0,762,0,Personal,276000,48,11.07,2022-04-15,0.35,0,Active,0
CUST100205,64,Male,Mumbai,Salaried,672000.0,641,0,Education,246000,120,12.39,2025-11-10,0.37,0,Active,0
CUST100206,46,Male,Noida,Salaried,902000.0,669,0,Personal,1032000,84,7.0,2022-09-09,1.14,0,Active,0
CUST100207,52,Male,Pune,Business Owner,370000.0,712,2,Personal,457000,240,11.5,2023-06-26,1.24,0,Active,0
CUST100208,26,Female,Delhi,Salaried,1030000.0,775,0,Auto,580000,36,10.64,2023-12-08,0.56,0,Closed,0
CUST100209,52,Female,Bengaluru,Salaried,737000.0,673,0,Auto,1292000,24,7.0,2022-06-15,1.75,0,Closed,0
CUST100210,24,Male,Pune,Salaried,1071000.0,689,1,Home,736000,180,10.09,2025-08-20,0.69,0,Active,0
CUST100211,31,Male,Gurugram,Salaried,1030000.0,666,1,Personal,565000,84,10.25,2024-12-06,0.55,0,Closed,0
CUST100212,37,Male,Gurugram,Business Owner,529000.0,569,2,Personal,180000,36,7.72,2021-06-05,0.34,8,Active - Overdue 30d,0
CUST100213,58,Female,Mumbai,Self-Employed,356000.0,783,1,Personal,908000,36,12.16,2025-09-21,2.55,108,Default,1
CUST100214,44,Female,Mumbai,Business Owner,465000.0,446,1,Credit Card Consolidation,262000,60,10.1,2021-02-05,0.56,130,Default,1
CUST100215,25,Male,Gurugram,Salaried,638000.0,704,2,Personal,318000,36,7.12,2021-06-01,0.5,174,Default,1
CUST100216,54,Female,Hyderabad,Business Owner,1157000.0,772,1,Business,771000,36,12.17,2021-12-30,0.67,80,Default,1
