customer_id,age,gender,city,employment_type,annual_income,credit_score,credit_band,existing_loans_count,loan_purpose,loan_amount,loan_tenure_months,interest_rate_pct,disbursement_date,loan_to_income_ratio,days_past_due,loan_status,is_default,predicted_default_prob,risk_segment
CUST100011,44,Female,Chandigarh,Salaried,539000.0,622,Fair,0,Education,119000,120,14.88,2021-01-22,0.22,0,Closed,0,0.378,Medium Risk
CUST100012,56,Female,Pune,Salaried,693000.0,636,Fair,1,Auto,542000,180,10.23,2024-04-02,0.78,66,Default,1,0.467,High Risk
CUST100013,60,Male,Delhi,Salaried,484000.0,693,Good,1,Personal,252000,12,10.96,2021-04-05,0.52,0,Closed,0,0.447,High Risk
CUST100014,44,Male,Hyderabad,Self-Employed,341000.0,773,Very Good,1,Home,638000,24,7.96,2025-03-15,1.87,0,Active,0,0.503,High Risk
CUST100015,23,Female,Delhi,Salaried,1109000.0,518,Poor,1,Credit Card Consolidation,818000,120,11.68,2021-12-14,0.74,0,Active,0,0.508,High Risk
CUST100016,42,Male,Mumbai,Salaried,792000.0,664,Fair,0,Personal,542000,24,15.06,2024-08-06,0.68,0,Active,0,0.456,High Risk
CUST100017,22,Female,Pune,Salaried,405000.0,763,Very Good,1,Home,546000,12,8.32,2025-02-28,1.35,0,Active,0,0.357,Medium Risk
CUST100018,44,Male,Mumbai,Salaried,425000.0,684,Good,0,Personal,356000,120,13.45,2025-08-26,0.84,0,Closed,0,0.442,High Risk
CUST100019,64,Male,Chennai,Salaried,823000.0,704,Good,1,Home,261000,84,11.86,2024-02-27,0.32,10,Active - Overdue 30d,0,0.391,Medium Risk
CUST100020,50,Female,Noida,Self-Employed,616000.0,765,Very Good,0,Auto,523000,60,11.79,2024-06-14,0.85,12,Active - Overdue 30d,0,0.446,High Risk
CUST100021,58,Female,Mohali,Self-Employed,945000.0,557,Poor,0,Education,796000,12,16.87,2023-04-24,0.84,133,Default,1,0.687,Very High Risk
CUST100022,22,Female,Pune,Salaried,980000.0,693,Good,1,Credit Card Consolidation,737000,60,12.59,2021-02-22,0.75,0,Active,0,0.407,High Risk
CUST100023,41,Male,Gurugram,Salaried,974000.0,745,Very Good,1,Business,591000,24,11.07,2023-10-25,0.61,0,Closed,0,0.335,Medium Risk
CUST100024,53,Male,Bengaluru,Self-Employed,750000.0,716,Good,1,Personal,625000,84,12.34,2021-05-09,0.83,72,Default,1,0.532,High Risk
CUST100025,32,Male,Gurugram,Self-Employed,532000.0,632,Fair,1,Personal,158000,60,10.39,2023-03-18,0.3,133,Default,1,0.489,High Risk
CUST100026,42,Male,Delhi,Self-Employed,1072000.0,536,Poor,1,Auto,418000,60,15.12,2022-03-24,0.39,0,Active,0,0.58,High Risk
CUST100027,64,Male,Bengaluru,Salaried,672000.0,703,Good,1,Education,617000,36,10.79,2022-06-29,0.92,0,Active,0,0.423,High Risk
CUST100028,45,Male,Hyderabad,Salaried,208000.0,634,Fair,1,Education,462000,36,12.1,2022-10-29,2.22,0,Active,0,0.536,High Risk
CUST100029,47,Male,Delhi,Business Owner,935000.0,728,Good,1,Business,235000,36,12.9,2022-05-06,0.25,0,Active,0,0.427,High Risk
CUST100030,62,Female,Delhi,Salaried,919000.0,616,Fair,0,Personal,379000,180,8.39,2023-03-21,0.41,27,Active - Overdue 30d,0,0.392,Medium Risk
CUST100031,48,Female,Hyderabad,Salaried,437000.0,790,Very Good,0,Home,798000,24,10.9,2025-01-17,1.83,0,Closed,0,0.383,Medium Risk
CUST100032,36,Female,Delhi,Salaried,555000.0,763,Very Good,3,Home,282000,36,10.45,2025-10-14,0.51,0,Active,0,0.369,Medium Risk
CUST100033,35,Male,Delhi,Salaried,956000.0,580,Fair,0,Credit Card Consolidation,335000,84,15.32,2022-04-15,0.35,0,Active,0,0.486,High Risk
CUST100034,64,Female,Mumbai,Business Owner,795000.0,812,Excellent,0,Home,165000,60,10.71,2025-09-18,0.21,0,Active,0,0.343,Medium Risk
CUST100035,23,Male,Hyderabad,Business Owner,707000.0,573,Poor,1,Personal,1341000,120,13.61,2025-11-02,1.9,76,Default,1,0.688,Very High Risk
CUST100036,57,Male,Pune,Self-Employed,470000.0,729,Good,0,Home,748000,84,13.22,2024-11-01,1.59,0,Closed,0,0.515,High Risk
CUST100037,27,Female,Hyderabad,Salaried,724000.0,660,Fair,0,Home,526000,48,9.17,2025-11-21,0.73,0,Active,0,0.463,High Risk
CUST100038,41,Male,Delhi,Business Owner,329000.0,670,Good,2,Auto,1002000,84,10.7,2024-07-11,3.05,123,Default,1,0.76,Very High Risk
CUST100039,29,Male,Hyderabad,Business Owner,874000.0,767,Very Good,1,Personal,354000,120,9.98,2022-03-02,0.41,0,Closed,0,0.381,Medium Risk
CUST100040,59,Male,Pune,Self-Employed,737000.0,709,Good,0,Education,1047000,60,11.27,2023-11-09,1.42,0,Active,0,0.514,High Risk
CUST100041,38,Male,Bengaluru,Business Owner,1024000.0,580,Fair,2,Personal,439000,24,13.95,2023-11-10,0.43,127,Default,1,0.608,Very High Risk
CUST100042,24,Female,Gurugram,Salaried,584000.0,638,Fair,0,Auto,101000,60,12.69,2025-03-15,0.17,0,Active,0,0.377,Medium Risk
CUST100043,45,Female,Chandigarh,Salaried,1039000.0,718,Good,0,Business,198000,12,15.31,2022-08-01,0.19,0,Active,0,0.299,Medium Risk
CUST100044,34,Female,Gurugram,Salaried,542000.0,766,Very Good,1,Auto,498000,48,7.0,2023-06-14,0.92,152,Default,1,0.345,Medium Risk
CUST100045,29,Male,Pune,Self-Employed,1265000.0,748,Very Good,1,Personal,535000,12,10.77,2025-03-08,0.42,0,Closed,0,0.397,Medium Risk
CUST100046,46,Female,Delhi,Salaried,776000.0,663,Fair,1,Home,516000,12,11.33,2023-10-17,0.66,0,Active,0,0.481,High Risk
CUST100047,22,Male,Chandigarh,Salaried,923000.0,652,Fair,1,Auto,93000,36,13.39,2021-04-21,0.1,74,Default,1,0.441,High Risk
CUST100048,40,Male,Gurugram,Salaried,805000.0,840,Excellent,0,Home,563000,84,10.82,2023-12-20,0.7,0,Closed,0,0.211,Medium Risk
CUST100049,48,Female,Gurugram,Salaried,872000.0,752,Very Good,1,Home,619000,60,17.24,2025-01-05,0.71,0,Closed,0,0.33,Medium Risk
CUST100050,27,Male,Gurugram,Self-Employed,435000.0,664,Fair,0,Personal,1150000,12,11.44,2023-10-09,2.64,169,Default,1,0.736,Very High Risk
CUST100051,64,Female,Noida,Salaried,554000.0,683,Good,1,Auto,977000,36,10.59,2021-05-05,1.76,0,Active,0,0.586,High Risk
CUST100052,28,Male,Chennai,Salaried,461000.0,596,Fair,0,Education,601000,84,12.18,2023-03-28,1.3,0,Active,0,0.472,High Risk
CUST100053,55,Female,Pune,Self-Employed,967000.0,653,Fair,1,Personal,1527000,36,13.6,2022-11-22,1.58,0,Active,0,0.533,High Risk
CUST100054,34,Female,Hyderabad,Business Owner,519000.0,633,Fair,0,Auto,814000,180,11.65,2022-05-04,1.57,163,Default,1,0.651,Very High Risk
CUST100055,37,Male,Mumbai,Salaried,842000.0,650,Fair,0,Business,594000,240,13.39,2023-03-06,0.71,214,Written Off,1,0.457,High Risk
CUST100056,56,Male,Hyderabad,Salaried,1074000.0,769,Very Good,0,Credit Card Consolidation,354000,12,13.46,2023-06-22,0.33,150,Default,1,0.498,High Risk
CUST100057,60,Female,Gurugram,Self-Employed,696000.0,578,Poor,1,Personal,649000,48,7.0,2022-09-26,0.93,23,Active - Overdue 30d,0,0.592,High Risk
CUST100058,24,Male,Bengaluru,Business Owner,602000.0,665,Fair,2,Personal,464000,48,13.99,2023-03-31,0.77,79,Default,1,0.569,High Risk
CUST100059,22,Male,Mumbai,Salaried,838000.0,604,Fair,1,Auto,625000,120,10.05,2025-12-27,0.75,102,Default,1,0.51,High Risk
CUST100060,26,Female,Mumbai,Salaried,1188000.0,700,Good,1,Personal,345000,36,7.92,2025-04-11,0.29,0,Active,0,0.357,Medium Risk
CUST100061,62,Male,Mumbai,Salaried,822000.0,788,Very Good,1,Credit Card Consolidation,342000,12,10.35,2024-11-11,0.42,0,Active,0,0.43,High Risk
CUST100062,24,Female,Delhi,Salaried,457000.0,737,Good,1,Personal,517000,36,12.39,2024-11-02,1.13,87,Default,1,0.396,Medium Risk
CUST100063,49,Male,Mumbai,Self-Employed,699000.0,698,Good,0,Auto,699000,48,8.18,2024-08-15,1.0,316,Written Off,1,0.576,High Risk
CUST100064,38,Male,Hyderabad,Salaried,839000.0,761,Very Good,0,Home,206000,24,7.42,2022-11-07,0.25,0,Active,0,0.31,Medium Risk
CUST100065,46,Female,Delhi,Salaried,459000.0,752,Very Good,4,Auto,393000,36,13.22,2023-03-20,0.86,0,Closed,0,0.352,Medium Risk
CUST100066,64,Male,Bengaluru,Salaried,865000.0,646,Fair,2,Personal,427000,12,7.76,2023-12-30,0.49,244,Written Off,1,0.568,High Risk
CUST100067,54,Male,Chennai,Salaried,1204000.0,543,Poor,0,Business,868000,180,12.73,2022-03-05,0.72,93,Default,1,0.512,High Risk
CUST100068,30,Male,Mumbai,Salaried,629000.0,773,Very Good,0,Home,565000,60,10.08,2021-01-02,0.9,0,Active,0,0.309,Medium Risk
CUST100069,56,Male,Chennai,Salaried,532000.0,586,Fair,0,Business,207000,180,16.12,2025-12-24,0.39,0,Closed,0,0.465,High Risk
CUST100070,34,Male,Pune,Salaried,790000.0,587,Fair,0,Personal,746000,84,9.36,2022-04-11,0.94,97,Default,1,0.524,High Risk
CUST100071,51,Male,Bengaluru,Salaried,573000.0,659,Fair,1,Personal,323000,48,16.31,2025-09-12,0.56,84,Default,1,0.469,High Risk
CUST100072,35,Male,Mumbai,Business Owner,368000.0,633,Fair,1,Education,534000,36,7.89,2023-02-12,1.45,89,Default,1,0.602,Very High Risk
CUST100073,28,Male,Mumbai,Salaried,846000.0,586,Fair,1,Personal,493000,48,11.03,2023-03-31,0.58,0,Closed,0,0.507,High Risk
CUST100074,34,Female,Bengaluru,Salaried,725000.0,673,Good,1,Business,862000,48,11.71,2025-09-26,1.19,0,Closed,0,0.5,High Risk
CUST100075,43,Female,Delhi,Salaried,663000.0,657,Fair,0,Personal,424000,12,12.56,2025-12-29,0.64,0,Active,0,0.453,High Risk
CUST100076,60,Male,Delhi,Salaried,509000.0,719,Good,1,Education,457000,60,7.66,2023-10-15,0.9,0,Closed,0,0.355,Medium Risk
CUST100077,41,Female,Mumbai,Salaried,470000.0,681,Good,2,Home,368000,84,12.46,2023-08-17,0.78,0,Closed,0,0.475,High Risk
CUST100078,36,Female,Pune,Salaried,614000.0,706,Good,1,Education,352000,120,12.82,2024-07-05,0.57,0,Closed,0,0.386,Medium Risk
CUST100079,38,Male,Delhi,Self-Employed,392000.0,668,Fair,1,Personal,299000,60,15.01,2023-12-17,0.76,170,Default,1,0.517,High Risk
CUST100080,44,Female,Hyderabad,Salaried,435000.0,707,Good,2,Education,275000,48,11.0,2023-12-17,0.63,69,Default,1,0.446,High Risk
CUST100081,46,Male,Delhi,Business Owner,1455000.0,647,Fair,0,Business,202000,36,11.94,2025-03-07,0.14,0,Closed,0,0.314,Medium Risk
CUST100082,45,Female,Chennai,Salaried,743000.0,670,Good,1,Home,887000,36,11.24,2022-01-18,1.19,0,Closed,0,0.5,High Risk
CUST100083,61,Male,Delhi,Salaried,654000.0,612,Fair,0,Home,425000,120,11.41,2022-01-30,0.65,0,Active,0,0.495,High Risk
CUST100084,49,Male,Hyderabad,Salaried,1464000.0,610,Fair,1,Education,795000,48,11.21,2024-06-04,0.54,0,Active,0,0.347,Medium Risk
CUST100085,35,Female,Bengaluru,Business Owner,556000.0,684,Good,0,Home,450000,12,10.35,2023-12-29,0.81,0,Closed,0,0.527,High Risk
CUST100086,21,Male,Pune,Salaried,566000.0,827,Excellent,0,Home,551000,48,14.46,2023-12-10,0.97,0,Closed,0,0.233,Medium Risk
CUST100087,45,Male,Mumbai,Self-Employed,1479000.0,714,Good,2,Home,316000,84,10.95,2023-11-16,0.21,29,Active - Overdue 30d,0,0.399,Medium Risk
CUST100088,27,Female,Gurugram,Salaried,340000.0,641,Fair,0,Home,279000,24,13.69,2023-05-15,0.82,0,Closed,0,0.431,High Risk
CUST100089,29,Male,Delhi,Business Owner,305000.0,562,Poor,0,Business,569000,60,14.29,2025-05-13,1.87,79,Default,1,0.678,Very High Risk
CUST100090,44,Female,Gurugram,Salaried,1190000.0,737,Good,1,Business,291000,24,9.78,2024-07-05,0.24,0,Closed,0,0.317,Medium Risk
CUST100091,21,Female,Delhi,Business Owner,1242000.0,772,Very Good,3,Auto,393000,60,11.94,2023-05-16,0.32,0,Active,0,0.398,Medium Risk
CUST100092,64,Male,Gurugram,Salaried,882000.0,721,Good,0,Auto,612000,48,11.7,2021-08-26,0.69,0,Closed,0,0.355,Medium Risk
CUST100093,28,Male,Mumbai,Salaried,778000.0,717,Good,0,Personal,223000,48,12.62,2023-08-29,0.29,143,Default,1,0.339,Medium Risk
CUST100094,44,Female,Delhi,Salaried,290000.0,567,Poor,0,Personal,1499000,60,7.6,2021-05-11,5.17,73,Default,1,0.784,Very High Risk
CUST100095,31,Male,Pune,Salaried,251000.0,690,Good,1,Credit Card Consolidation,262000,48,8.63,2022-02-03,1.04,60,Default,1,0.503,High Risk
CUST100096,37,Female,Mohali,Salaried,1007000.0,633,Fair,1,Auto,263000,60,10.59,2021-01-16,0.26,0,Closed,0,0.415,High Risk
CUST100097,28,Male,Gurugram,Self-Employed,1185000.0,729,Good,1,Home,609000,180,10.53,2021-03-11,0.51,0,Closed,0,0.424,High Risk
CUST100098,55,Male,Hyderabad,Salaried,813000.0,594,Fair,3,Home,573000,36,9.35,2025-10-07,0.7,163,Default,1,0.593,High Risk
CUST100099,55,Male,Chandigarh,Salaried,150000.0,674,Good,2,Business,534000,12,8.3,2021-07-16,3.56,0,Active,0,0.649,Very High Risk
CUST100100,53,Female,Gurugram,Salaried,1054000.0,740,Very Good,4,Home,343000,48,7.95,2022-07-25,0.33,138,Default,1,0.464,High Risk
CUST100101,25,Male,Mumbai,Salaried,453000.0,622,Fair,0,Home,529000,36,10.82,2023-10-22,1.17,199,Written Off,1,0.475,High Risk
CUST100102,62,Male,Delhi,Salaried,1306000.0,650,Fair,0,Education,890000,48,15.03,2023-05-19,0.68,0,Active,0,0.357,Medium Risk
CUST100103,59,Male,Noida,Salaried,1148000.0,750,Very Good,1,Business,1111000,60,15.8,2025-06-02,0.97,0,Closed,0,0.351,Medium Risk
CUST100104,61,Male,Gurugram,Business Owner,957000.0,821,Excellent,1,Personal,694000,48,9.12,2024-06-02,0.73,0,Closed,0,0.358,Medium Risk
CUST100105,48,Male,Pune,Salaried,722000.0,738,Good,2,Business,379000,60,15.29,2022-09-07,0.52,0,Active,0,0.369,Medium Risk
CUST100106,27,Male,Chandigarh,Business Owner,302000.0,686,Good,1,Business,427000,36,10.21,2021-08-11,1.41,158,Default,1,0.612,Very High Risk
CUST100107,29,Male,Bengaluru,Salaried,1544000.0,631,Fair,1,Personal,1267000,48,11.4,2023-04-14,0.82,0,Active,0,0.321,Medium Risk
CUST100108,28,Male,Bengaluru,Salaried,1179000.0,662,Fair,0,Credit Card Consolidation,397000,48,16.58,2023-06-01,0.34,0,Closed,0,0.423,High Risk
CUST100109,32,Male,Chandigarh,Business Owner,210000.0,733,Good,0,Business,506000,24,11.23,2024-01-12,2.41,170,Default,1,0.653,Very High Risk
CUST100110,54,Female,Delhi,Salaried,943000.0,639,Fair,0,Home,564000,48,9.0,2021-08-19,0.6,0,Closed,0,0.414,High Risk
CUST100111,53,Female,Bengaluru,Business Owner,660000.0,644,Fair,2,Business,529000,120,11.6,2022-01-21,0.8,0,Active,0,0.574,High Risk
CUST100112,43,Male,Gurugram,Salaried,1244000.0,577,Poor,1,Auto,657000,36,11.12,2025-11-14,0.53,327,Written Off,1,0.514,High Risk
CUST100113,44,Male,Mohali,Salaried,387000.0,842,Excellent,2,Personal,619000,60,8.19,2024-11-21,1.6,0,Active,0,0.364,Medium Risk
CUST100114,57,Male,Bengaluru,Business Owner,1257000.0,757,Very Good,0,Credit Card Consolidation,343000,24,11.89,2024-05-26,0.27,168,Default,1,0.571,High Risk
CUST100115,55,Female,Pune,Salaried,516000.0,648,Fair,1,Personal,751000,12,12.01,2023-09-15,1.46,0,Closed,0,0.502,High Risk
CUST100116,64,Male,Mumbai,Business Owner,906000.0,789,Very Good,1,Personal,159000,240,14.63,2023-06-30,0.18,87,Default,1,0.49,High Risk
CUST100117,60,Male,Mumbai,Salaried,720000.0,711,Good,0,Home,182000,36,13.03,2021-11-24,0.25,0,Active,0,0.362,Medium Risk
CUST100118,42,Female,Noida,Self-Employed,272000.0,606,Fair,0,Business,117000,84,12.59,2021-08-25,0.43,322,Written Off,1,0.464,High Risk
CUST100119,47,Male,Hyderabad,Salaried,1568000.0,637,Fair,1,Home,359000,120,7.45,2023-12-25,0.23,0,Active,0,0.334,Medium Risk
CUST100120,55,Male,Bengaluru,Salaried,662000.0,599,Fair,2,Home,327000,36,9.22,2023-05-20,0.49,68,Default,1,0.586,High Risk
CUST100121,21,Male,Chandigarh,Salaried,470000.0,707,Good,1,Home,1162000,12,10.8,2025-05-01,2.47,167,Written Off,1,0.622,Very High Risk
CUST100122,55,Female,Mumbai,Salaried,311000.0,852,Excellent,0,Auto,1332000,36,12.31,2022-05-15,4.28,0,Closed,0,0.448,High Risk
CUST100123,57,Male,Hyderabad,Salaried,1002000.0,679,Good,0,Home,1187000,120,14.26,2021-04-02,1.18,0,Closed,0,0.441,High Risk
CUST100124,34,Female,Mumbai,Salaried,1200000.0,630,Fair,0,Credit Card Consolidation,791000,120,10.69,2023-01-06,0.66,0,Active,0,0.417,High Risk
CUST100125,23,Female,Hyderabad,Self-Employed,886000.0,667,Fair,0,Auto,593000,120,14.19,2023-12-11,0.67,82,Default,1,0.615,Very High Risk
CUST100126,21,Male,Chandigarh,Self-Employed,742000.0,816,Excellent,0,Education,517000,84,12.07,2024-01-23,0.7,151,Default,1,0.495,High Risk
CUST100127,25,Male,Bengaluru,Salaried,833000.0,740,Very Good,2,Credit Card Consolidation,495000,24,12.74,2024-03-30,0.59,0,Closed,0,0.368,Medium Risk
CUST100128,46,Male,Noida,Salaried,837000.0,693,Good,0,Home,122000,48,7.83,2023-05-31,0.15,64,Default,1,0.442,High Risk
CUST100129,34,Female,Mohali,Self-Employed,633000.0,554,Poor,0,Auto,813000,36,13.0,2021-06-14,1.28,0,Active,0,0.659,Very High Risk
CUST100130,59,Female,Delhi,Self-Employed,837000.0,699,Good,1,Business,625000,48,13.34,2025-01-30,0.75,0,Active,0,0.51,High Risk
CUST100131,47,Male,Chennai,Self-Employed,1309000.0,622,Fair,0,Auto,877000,48,13.42,2021-03-13,0.67,0,Active,0,0.491,High Risk
CUST100132,29,Female,Hyderabad,Self-Employed,614000.0,792,Very Good,2,Personal,291000,36,9.87,2024-11-27,0.47,0,Closed,0,0.405,High Risk
CUST100133,35,Male,Hyderabad,Salaried,747000.0,602,Fair,1,Home,678000,60,10.56,2025-11-26,0.91,118,Default,1,0.508,High Risk
CUST100134,35,Male,Mohali,Salaried,774000.0,613,Fair,3,Home,602000,12,11.62,2024-08-06,0.78,0,Closed,0,0.543,High Risk
CUST100135,46,Female,Gurugram,Salaried,697000.0,726,Good,2,Credit Card Consolidation,676000,60,9.16,2025-09-15,0.97,275,Written Off,1,0.455,High Risk
CUST100136,62,Female,Hyderabad,Self-Employed,713000.0,686,Good,1,Credit Card Consolidation,480000,48,10.98,2025-04-14,0.67,0,Active,0,0.531,High Risk
CUST100137,33,Male,Chennai,Salaried,1313000.0,615,Fair,1,Personal,752000,24,15.37,2025-01-06,0.57,0,Active,0,0.362,Medium Risk
CUST100138,52,Female,Gurugram,Salaried,481000.0,592,Fair,1,Business,1006000,48,12.41,2022-01-22,2.09,97,Default,1,0.722,Very High Risk
CUST100139,59,Female,Gurugram,Salaried,432000.0,826,Excellent,0,Personal,978000,12,11.11,2025-03-09,2.26,0,Active,0,0.377,Medium Risk
CUST100140,52,Female,Bengaluru,Salaried,1448000.0,673,Good,1,Home,1323000,60,16.84,2023-09-24,0.91,0,Closed,0,0.317,Medium Risk
CUST100141,24,Female,Chennai,Salaried,457000.0,688,Good,1,Home,152000,48,9.44,2022-07-11,0.33,136,Default,1,0.437,High Risk
CUST100142,50,Female,Hyderabad,Salaried,798000.0,689,Good,2,Business,464000,240,14.75,2021-11-10,0.58,173,Written Off,1,0.469,High Risk
CUST100143,57,Male,Gurugram,Self-Employed,685000.0,533,Poor,0,Credit Card Consolidation,322000,24,9.76,2021-10-23,0.47,0,Closed,0,0.624,Very High Risk
CUST100144,43,Female,Gurugram,Self-Employed,1194000.0,748,Very Good,0,Personal,272000,120,11.67,2025-07-18,0.23,0,Closed,0,0.328,Medium Risk
CUST100145,59,Male,Mumbai,Business Owner,479000.0,630,Fair,0,Home,195000,36,13.81,2021-09-22,0.41,0,Active,0,0.568,High Risk
CUST100146,35,Female,Mumbai,Salaried,235000.0,629,Fair,1,Business,702000,24,9.2,2022-12-13,2.99,174,Default,1,0.604,Very High Risk
CUST100147,63,Male,Chandigarh,Self-Employed,1226000.0,684,Good,1,Personal,615000,84,7.0,2021-10-26,0.5,126,Default,1,0.524,High Risk
CUST100148,49,Female,Gurugram,Self-Employed,359000.0,510,Poor,1,Personal,1165000,240,13.06,2025-11-09,3.25,0,Closed,0,0.552,High Risk
CUST100149,56,Male,Chennai,Salaried,580000.0,540,Poor,0,Credit Card Consolidation,380000,84,12.75,2025-03-29,0.66,0,Active,0,0.517,High Risk
CUST100150,33,Male,Chandigarh,Self-Employed,341000.0,747,Very Good,3,Auto,433000,60,7.19,2021-08-27,1.27,0,Active,0,0.425,High Risk
CUST100151,52,Male,Mohali,Self-Employed,668000.0,733,Good,1,Education,625000,12,9.64,2022-05-14,0.94,133,Default,1,0.557,High Risk
CUST100152,27,Female,Delhi,Salaried,1119000.0,616,Fair,0,Personal,783000,36,14.39,2024-01-26,0.7,0,Active,0,0.456,High Risk
CUST100153,42,Female,Mohali,Self-Employed,644000.0,769,Very Good,1,Personal,705000,12,7.0,2025-03-09,1.09,13,Active - Overdue 30d,0,0.466,High Risk
CUST100154,48,Male,Bengaluru,Business Owner,637000.0,788,Very Good,1,Personal,677000,36,11.35,2023-05-23,1.06,119,Default,1,0.472,High Risk
CUST100155,22,Female,Pune,Salaried,350000.0,572,Poor,0,Auto,419000,48,7.0,2022-11-03,1.2,0,Active,0,0.483,High Risk
CUST100156,62,Female,Chandigarh,Business Owner,379000.0,707,Good,1,Credit Card Consolidation,844000,60,16.01,2025-06-09,2.23,0,Active,0,0.554,High Risk
CUST100157,26,Female,Bengaluru,Salaried,381000.0,638,Fair,0,Education,418000,36,10.66,2024-12-29,1.1,151,Default,1,0.442,High Risk
CUST100158,48,Male,Mumbai,Salaried,350000.0,484,Poor,0,Personal,319000,120,7.0,2023-09-19,0.91,109,Default,1,0.517,High Risk
CUST100159,48,Female,Mumbai,Salaried,641000.0,574,Poor,2,Auto,281000,48,14.06,2025-04-01,0.44,0,Active,0,0.565,High Risk
CUST100160,64,Male,Hyderabad,Salaried,670000.0,709,Good,0,Home,1058000,48,16.89,2022-11-19,1.58,0,Active,0,0.39,Medium Risk
CUST100161,64,Female,Bengaluru,Salaried,801000.0,606,Fair,1,Personal,50000,24,16.93,2024-08-20,0.06,0,Active,0,0.373,Medium Risk
CUST100162,40,Female,Mohali,Self-Employed,292000.0,768,Very Good,0,Business,560000,60,7.0,2022-07-23,1.92,0,Closed,0,0.394,Medium Risk
CUST100163,50,Female,Bengaluru,Salaried,374000.0,695,Good,1,Personal,1059000,36,7.0,2021-08-16,2.83,113,Default,1,0.641,Very High Risk
CUST100164,31,Female,Mohali,Salaried,1130000.0,850,Excellent,3,Auto,490000,180,7.0,2025-12-20,0.43,0,Closed,0,0.267,Medium Risk
CUST100165,48,Male,Delhi,Salaried,943000.0,551,Poor,1,Home,600000,120,11.34,2025-06-09,0.64,0,Closed,0,0.479,High Risk
CUST100166,45,Male,Mumbai,Salaried,319000.0,816,Excellent,0,Home,261000,36,13.11,2022-11-26,0.82,0,Active,0,0.239,Medium Risk
CUST100167,59,Male,Bengaluru,Salaried,406000.0,766,Very Good,1,Home,816000,84,7.0,2024-07-27,2.01,119,Default,1,0.598,High Risk
CUST100168,53,Male,Noida,Salaried,334000.0,667,Fair,0,Home,305000,48,15.02,2023-10-25,0.91,108,Default,1,0.457,High Risk
CUST100169,21,Female,Chandigarh,Salaried,871000.0,796,Very Good,0,Personal,471000,48,9.51,2024-07-13,0.54,0,Closed,0,0.266,Medium Risk
CUST100170,47,Female,Mumbai,Self-Employed,747000.0,670,Good,0,Business,369000,60,10.56,2022-10-14,0.49,127,Default,1,0.476,High Risk
CUST100171,33,Female,Delhi,Salaried,749000.0,806,Excellent,1,Personal,260000,84,12.19,2023-12-02,0.35,39,Active - Overdue 30d,0,0.255,Medium Risk
CUST100172,61,Male,Bengaluru,Salaried,520000.0,614,Fair,0,Auto,438000,60,14.76,2022-06-26,0.84,62,Default,1,0.489,High Risk
CUST100173,23,Male,Pune,Salaried,445000.0,693,Good,1,Auto,146000,84,11.85,2021-09-14,0.33,0,Active,0,0.387,Medium Risk
CUST100174,59,Male,Bengaluru,Self-Employed,411000.0,672,Good,1,Home,1180000,24,13.47,2025-08-10,2.87,0,Active,0,0.686,Very High Risk
CUST100175,26,Male,Hyderabad,Salaried,413000.0,577,Poor,1,Personal,373000,36,7.0,2023-01-23,0.9,37,Active - Overdue 30d,0,0.486,High Risk
CUST100176,28,Male,Pune,Salaried,790000.0,609,Fair,1,Home,761000,36,13.39,2024-04-03,0.96,0,Active,0,0.517,High Risk
